ranking,name,code,opendate,week1_num,week2_num,week3_num
1,택시운전사,146469,2017-08-02,7937810,2415174,1015448
2,신과함께-죄와 벌,85579,2017-12-20,8539495,2962892,1341828
3,공조,142384,2017-01-18,3795042,2477348,989485
4,범죄도시,161242,2017-10-03,3673466,1293726,877865
5,군함도,146506,2017-07-26,6080649,385344,88427
6,청년경찰,153652,2017-08-09,3906404,927720,543177
7,더 킹,172748,2017-01-18,3835359,1155996,280286
8,꾼,152385,2017-11-22,2995981,726463,270130
9,강철비,155665,2017-12-14,3156859,857434,336450
10,남한산성,150637,2017-10-03,3617655,157024,51544
11,아이 캔 스피크,161850,2017-09-21,1649352,1220250,271584
12,프리즌,146517,2017-03-23,2214824,460910,174400
13,살인자의 기억법,137890,2017-09-06,2063878,409721,149259
14,보안관,146524,2017-05-03,2206565,302902,66103
15,조작된 도시,127382,2017-02-09,1974264,405275,112850
16,재심,149512,2017-02-15,1887218,379706,114237
17,박열,155716,2017-06-28,1842240,369975,126656
18,마스터,145162,2016-12-21,5441619,1076481,513122
19,1987,158191,2017-12-27,4089391,1697568,881337
20,노무현입니다,162173,2017-05-25,1176749,391073,155168
21,임금님의 사건수첩,144280,2017-04-26,1493047,119671,18502
22,부라더,160749,2017-11-02,1282366,170001,33467
23,기억의 밤,160399,2017-11-29,1105601,247958,31636
24,브이아이피,152170,2017-08-23,1315483,49470,6168
25,특별시민,146485,2017-04-26,1334084,23304,2568
26,장산범,137696,2017-08-17,1121885,164919,17935
27,악녀,155256,2017-06-08,927060,200439,65389
28,해빙,137875,2017-03-01,1142194,55675,5662
29,하루,152168,2017-06-15,989152,122706,15906
30,불한당: 나쁜 놈들의 세상,154112,2017-05-17,846266,62005,10552
