ranking,name,opendate,output,output_percent,viewer,screen_num,count,nation,nation,make
1,베테랑,2015-08-05,"105,168,155,250",12.00%,"13,414,009","1,115","199,231",한국,한국,씨제이이앤엠(주)
2,암살,2015-07-22,"98,463,132,781",11.20%,"12,705,700","1,519","175,185",한국,한국,(주)쇼박스
3,국제시장,2014-12-17,"69,841,376,134",7.90%,"8,915,904","1,044","149,061",한국,한국,씨제이이앤엠(주)
4,내부자들,2015-11-19,"56,465,665,657",6.40%,"7,055,332","1,129","152,265",한국,한국,(주)쇼박스
5,사도,2015-09-16,"48,842,902,501",5.60%,"6,246,849","1,210","124,246",한국,한국,(주)쇼박스
6,연평해전,2015-06-24,"45,563,228,330",5.20%,"6,043,784","1,013","114,450",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
7,검은 사제들,2015-11-05,"42,405,282,092",4.80%,"5,442,128","1,109","131,155",한국,한국,씨제이이앤엠(주)
8,히말라야,2015-12-16,"39,469,775,448",4.50%,"5,129,409","1,095","81,042",한국,한국,씨제이이앤엠(주)
9,조선명탐정 : 사라진 놉의 딸,2015-02-11,"30,456,879,428",3.50%,"3,872,015",825,"80,499",한국,한국,(주)쇼박스
10,스물,2015-03-25,"23,563,421,686",2.70%,"3,044,811",926,"100,161",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
11,극비수사,2015-06-18,"22,389,535,897",2.50%,"2,860,786",894,"66,211",한국,한국,(주)쇼박스
12,탐정 : 더 비기닝,2015-09-24,"20,463,956,973",2.30%,"2,625,686",764,"54,995",한국,한국,씨제이이앤엠(주)
13,악의 연대기,2015-05-14,"17,361,815,332",2.00%,"2,192,525",776,"64,351",한국,한국,씨제이이앤엠(주)
14,강남 1970,2015-01-21,"17,718,699,499",2.00%,"2,192,276",841,"53,304",한국,한국,(주)쇼박스
15,뷰티 인사이드,2015-08-20,"16,148,479,531",1.80%,"2,053,435",648,"52,618",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
16,오늘의 연애,2015-01-14,"14,924,654,487",1.70%,"1,891,993",709,"47,237",한국,한국,씨제이이앤엠(주)
17,쎄시봉,2015-02-05,"13,571,515,911",1.50%,"1,715,370",829,"51,744",한국,한국,씨제이이앤엠(주)
18,더 폰,2015-10-22,"12,309,164,568",1.40%,"1,593,694",794,"53,599",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
19,대호,2015-12-16,"12,104,808,332",1.40%,"1,584,168",892,"39,599",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
20,차이나타운,2015-04-29,"11,990,370,378",1.40%,"1,472,106",551,"45,137",한국,한국,CGV아트하우스
21,장수상회,2015-04-09,"8,737,364,643",1.00%,"1,165,780",688,"52,928",한국,한국,씨제이이앤엠(주)
22,성난 변호사,2015-10-08,"8,723,650,039",1.00%,"1,128,288",607,"36,990",한국,한국,씨제이이앤엠(주)
23,간신,2015-05-21,"8,946,842,910",1.00%,"1,110,246",697,"40,580",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
24,그놈이다,2015-10-28,"8,096,427,152",0.90%,"1,046,015",681,"38,678",한국,한국,CGV아트하우스
25,미쓰 와이프,2015-08-13,"7,387,086,869",0.80%,"988,451",437,"28,864",한국,한국,메가박스중앙(주)플러스엠
26,허삼관,2015-01-14,"7,408,943,569",0.80%,"955,679",621,"27,645",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
27,"님아, 그 강을 건너지 마오",2014-11-27,"7,510,901,600",0.90%,"955,433",486,"26,199",한국,한국,"CGV아트하우스,(주)대명문화공장"
28,살인의뢰,2015-03-12,"6,986,456,737",0.80%,"855,980",646,"35,244",한국,한국,씨네그루(주)다우기술
29,손님,2015-07-09,"6,385,937,880",0.70%,"828,025",634,"23,404",한국,한국,씨제이이앤엠(주)
30,기술자들,2014-12-24,"6,241,817,635",0.70%,"786,257",481,"18,808",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
